ACTIVITY_ID,EXTERNAL_PERMIT_NMBR,VERSION_NMBR,PERM_FEATURE_ID,PERM_FEATURE_NMBR,PERM_FEATURE_TYPE_CODE,LIMIT_SET_ID,LIMIT_SET_DESIGNATOR,LIMIT_SET_NAME,DMR_COMMENT_TEXT,LIMIT_SET_SCHEDULE_ID,LIMIT_SET_STATUS_FLAG,LIMIT_ID,LIMIT_BEGIN_DATE,LIMIT_END_DATE,NMBR_OF_SUBMISSION,NMBR_OF_REPORT,PARAMETER_CODE,PARAMETER_DESC,MONITORING_LOCATION_CODE,STAY_TYPE_CODE,LIMIT_VALUE_ID,LIMIT_VALUE_TYPE_CODE,LIMIT_VALUE_NMBR,LIMIT_UNIT_CODE,LIMIT_UNIT_DESC,STANDARD_UNIT_CODE,STANDARD_UNIT_DESC,LIMIT_VALUE_STANDARD_UNITS,STATISTICAL_BASE_CODE,STATISTICAL_BASE_TYPE_CODE,LIMIT_VALUE_QUALIFIER_CODE,STAY_VALUE_NMBR,LIMIT_TYPE_CODE,OPTIONAL_MONITORING_FLAG,LIMIT_SAMPLE_TYPE_CODE,LIMIT_FREQ_OF_ANALYSIS_CODE,ALL_MONTHS_LIMIT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,LIMIT_SEASON_ID
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833505,A,3605908069,06/01/2021,05/31/2026,1,1,01040,"Copper, dissolved [as Cu]",1,,3610129902,C2,,19,mg/L,19,mg/L,,3C,AVG,,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833510,A,3605908069,06/01/2021,05/31/2026,3,1,01040,"Copper, dissolved [as Cu]",1,,3610129871,C3,,19,mg/L,19,mg/L,,DD,MAX,,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833505,A,3605908069,06/01/2021,05/31/2026,1,1,01040,"Copper, dissolved [as Cu]",1,,3610129871,C3,,19,mg/L,19,mg/L,,DD,MAX,,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833510,A,3605908069,06/01/2021,05/31/2026,3,1,01040,"Copper, dissolved [as Cu]",1,,3610129902,C2,,19,mg/L,19,mg/L,,3C,AVG,,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833505,A,3605908065,06/01/2021,05/31/2026,1,1,01042,"Copper, total [as Cu]",1,,3610129866,C3,.011,28,ug/L,19,mg/L,.000011,DD,MAX,<=,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833505,A,3605908065,06/01/2021,05/31/2026,1,1,01042,"Copper, total [as Cu]",1,,3610129903,C2,.011,28,ug/L,19,mg/L,.000011,3C,AVG,<=,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833510,A,3605908065,06/01/2021,05/31/2026,3,1,01042,"Copper, total [as Cu]",1,,3610129866,C3,.011,28,ug/L,19,mg/L,.000011,DD,MAX,<=,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833510,A,3605908065,06/01/2021,05/31/2026,3,1,01042,"Copper, total [as Cu]",1,,3610129903,C2,.011,28,ug/L,19,mg/L,.000011,3C,AVG,<=,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833510,A,3605908063,06/01/2021,05/31/2026,3,1,01105,"Aluminum, total [as Al]",1,,3610129905,Q2,.78,26,lb/d,01,kg/d,.35412,DD,MAX,<=,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
3602720951,NM0000116,0,3600545262,001,EXO,3600598928,A,DISCHARGE STORM RUNOFFS FROM STORAGE,,3600833505,A,3605908063,06/01/2021,05/31/2026,1,1,01105,"Aluminum, total [as Al]",1,,3610129905,Q2,.78,26,lb/d,01,kg/d,.35412,DD,MAX,<=,,ENF,N,GR,01/07,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,0
