NPDES_ID,VERSION_NMBR,ACTIVITY_ID,NPDES_VIOLATION_ID,PERM_FEATURE_NMBR,PERMIT_ACTIVITY_ID,LIMIT_SET_DESIGNATOR,MONITORING_LOCATION_CODE,DMR_FORM_VALUE_ID,DMR_VALUE_NMBR,DMR_VALUE_ID,DMR_PARAMETER_ID,NODI_CODE,ADJUSTED_DMR_VALUE_NMBR,LIMIT_VALUE_STANDARD_UNITS,VIOLATION_TYPE_CODE,VIOLATION_TYPE_DESC,VIOLATION_CODE,VIOLATION_DESC,PARAMETER_CODE,PARAMETER_DESC,STANDARD_UNIT_CODE,STANDARD_UNIT_DESC,MONITORING_PERIOD_END_DATE,NMBR_OF_REPORT,EXCEEDENCE_PCT,VALUE_QUALIFIER_CODE,UNIT_CODE,VALUE_RECEIVED_DATE,DAYS_LATE,ADJUSTED_DMR_STANDARD_UNITS,LIMIT_ID,DMR_VALUE_STANDARD_UNITS,VALUE_TYPE_CODE,RNC_DETECTION_CODE,RNC_DETECTION_DESC,RNC_DETECTION_DATE,RNC_RESOLUTION_CODE,RNC_RESOLUTION_DESC,RNC_RESOLUTION_DATE,STATISTICAL_BASE_CODE,STATISTICAL_BASE_MONTHLY_AVG,STATISTICAL_BASE_SHORT_DESC
NM0028762,3,3600771189,3629239952,001,3600771189,Q,1,3662550645,,3644593998,3625022882,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",19,mg/L,06/30/2017,3,,,,08/07/2017,10,,3601725081,,C3,K,"Non-receipt Violation, Non-Monthly Average",08/28/2017,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),08/28/2019,DD,N,DAILY MX
NM0028762,3,3600771189,3629239952,001,3600771189,Q,1,3662550645,,3644593998,3625022882,8,,,NODMR,Failure To Submit DMR,D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",19,mg/L,06/30/2017,3,,,,08/07/2017,10,,3601725081,,C3,K,"Non-receipt Violation, Non-Monthly Average",08/28/2017,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),08/28/2019,DD,N,DAILY MX
NM0028762,1,20044410,1400423743,001,20044410,A,1,606948072,7.01,1403076418,1401738336,,,6.6,,,D90,"DMR, Limited - Overdue",00400,pH,12,SU,07/31/2008,1,,=,,04/23/2009,177,,600097477,7.01,C1,,,,,,,ME,,MINIMUM
NM0028762,3,3600771189,3641783633,001,3600771189,Q,1,3662550674,,3688124718,3647589504,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,03/31/2019,3,,,,04/18/2019,,,3601725081,,Q1,N,Non-Receipt of DMR/Schedule Report,05/29/2019,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),05/29/2021,MK,A,MO AVG
NM0028762,3,3600771189,3641783633,001,3600771189,Q,1,3662550674,,3688124718,3647589504,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,03/31/2019,3,,,,04/18/2019,,,3601725081,,Q1,N,Non-Receipt of DMR/Schedule Report,05/29/2019,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),05/29/2021,MK,A,MO AVG
NM0028762,3,3600771189,3641783633,001,3600771189,Q,1,3662550674,,3688124718,3647589504,8,,,NODMR,Failure To Submit DMR,D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,03/31/2019,3,,,,04/18/2019,,,3601725081,,Q1,N,Non-Receipt of DMR/Schedule Report,05/29/2019,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),05/29/2021,MK,A,MO AVG
NM0028762,3,3600771189,3641783633,001,3600771189,Q,1,3662550674,,3688124718,3647589504,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,03/31/2019,3,,,,04/18/2019,,,3601725081,,Q1,N,Non-Receipt of DMR/Schedule Report,05/29/2019,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),05/29/2021,MK,A,MO AVG
NM0028762,3,3600771189,3641783633,001,3600771189,Q,1,3662550674,,3688124718,3647589504,8,,,NODMR,Failure To Submit DMR,D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,03/31/2019,3,,,,04/18/2019,,,3601725081,,Q1,N,Non-Receipt of DMR/Schedule Report,05/29/2019,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),05/29/2021,MK,A,MO AVG
NM0000116,2,20044286,2200766414,001,20044286,A,1,57973379,,2602330275,2601309545,C,,9,,,D90,"DMR, Limited - Overdue",00400,pH,12,SU,07/31/2010,1,,=,,05/27/2011,211,,20209071,,C3,K,"Non-receipt Violation, Non-Monthly Average",11/28/2010,2,RE - Back into Compliance,05/27/2011,MB,N,MAXIMUM
NM0020583,4,3600830134,3633250094,001,3600830134,A,1,3664421372,46,3653483604,3630077552,,,30,NOPRMT,"Discharge, Emission Or Activity WO Required Permit",E90,"DMR, Limited - Numeric Violation",00530,"Solids, total suspended",19,mg/L,01/31/2018,1,53,=,19,02/14/2018,,,3601680589,46,C2,T,TRC Limitations Exceeded,02/28/2018,2,RE - Back into Compliance,05/31/2018,3C,A,30DA AVG
NM0020583,4,3600830134,3633250094,001,3600830134,A,1,3664421372,46,3653483604,3630077552,,,30,SSO,Sanitary Sewer Overflows,E90,"DMR, Limited - Numeric Violation",00530,"Solids, total suspended",19,mg/L,01/31/2018,1,53,=,19,02/14/2018,,,3601680589,46,C2,T,TRC Limitations Exceeded,02/28/2018,2,RE - Back into Compliance,05/31/2018,3C,A,30DA AVG
NM0000116,3,2200037726,3403704709,TX4,2200037726,Y,1,2205473216,,3607901501,3604420915,C,,,,,D80,"DMR, Monitor Only - Overdue",TEM3D,Low Flow Pass/Fail Static Renewal 48Hr Acute Daphnia pulex,9A,pass=0;fail=1,11/30/2013,12,,=,,05/13/2015,500,,2200113540,,C2,,,,,,,MJ,,MO AV MN
NM0028762,1,20044410,1400734909,001,20044410,A,A,606948562,47,1401772323,1401006618,,,.019,,,E90,"DMR, Limited - Numeric Violation",50060,"Chlorine, total residual",19,mg/L,12/31/2008,1,147,=,,01/22/2009,,,600097488,.047,C3,R,"TRC Limitations Exceeded, Non-Monthly Average",12/31/2008,2,RE - Back into Compliance,03/31/2009,IA,N,INST MAX
NM0020583,1,20044319,21433293,001,20044319,A,1,58085748,34.53,43873658,27617149,,,30,,,E90,"DMR, Limited - Numeric Violation",00310,"BOD, 5-day, 20 deg. C",19,mg/L,12/31/2000,1,15,,,01/18/2001,3,,20210285,34.53,C2,C,Chronic Violation,03/31/2001,2,RE - Back into Compliance,06/30/2001,3C,A,30DA AVG
NM0028762,3,3600771189,3661263425,001,3600771189,Q,1,3655439105,,3743802919,3676657694,D,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",70295,"Solids, total dissolved",19,mg/L,06/30/2021,3,,,,07/13/2021,,,3601482265,,C2,N,Non-Receipt of DMR/Schedule Report,08/28/2021,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),08/28/2022,MK,A,MO AVG
NM0028762,3,3600771189,3661263425,001,3600771189,Q,1,3655439105,,3743802919,3676657694,D,,,NODMR,Failure To Submit DMR,D80,"DMR, Monitor Only - Overdue",70295,"Solids, total dissolved",19,mg/L,06/30/2021,3,,,,07/13/2021,,,3601482265,,C2,N,Non-Receipt of DMR/Schedule Report,08/28/2021,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),08/28/2022,MK,A,MO AVG
NM0028762,3,3600771189,3661263425,001,3600771189,Q,1,3655439105,,3743802919,3676657694,D,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",70295,"Solids, total dissolved",19,mg/L,06/30/2021,3,,,,07/13/2021,,,3601482265,,C2,N,Non-Receipt of DMR/Schedule Report,08/28/2021,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),08/28/2022,MK,A,MO AVG
NM0028762,2,1800023151,3638729254,001,1800023151,A,1,3600454254,2.95,3629483253,3616573929,,,,,,D80,"DMR, Monitor Only - Overdue",00530,"Solids, total suspended",01,kg/d,07/31/2016,1,,=,26,10/11/2018,713,,1800044065,1.33929999,Q1,N,Non-Receipt of DMR/Schedule Report,11/28/2016,2,RE - Back into Compliance,10/11/2018,MK,A,MO AVG
NM0028762,3,3600771189,3639473448,001,3600771189,Q,1,3662550665,,3676107681,3640927931,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",19,mg/L,09/30/2018,3,,,,10/11/2018,,,3601725081,,C3,K,"Non-receipt Violation, Non-Monthly Average",11/28/2018,9,RE - Manual by Back into Compliance/Administratively Resolved,11/28/2018,DD,N,DAILY MX
NM0028762,3,3600771189,3639473448,001,3600771189,Q,1,3662550665,,3676107681,3640927931,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",19,mg/L,09/30/2018,3,,,,10/11/2018,,,3601725081,,C3,K,"Non-receipt Violation, Non-Monthly Average",11/28/2018,9,RE - Manual by Back into Compliance/Administratively Resolved,11/28/2018,DD,N,DAILY MX
NM0028762,3,3600771189,3639473448,001,3600771189,Q,1,3662550665,,3676107681,3640927931,8,,,NODMR,Failure To Submit DMR,D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",19,mg/L,09/30/2018,3,,,,10/11/2018,,,3601725081,,C3,K,"Non-receipt Violation, Non-Monthly Average",11/28/2018,9,RE - Manual by Back into Compliance/Administratively Resolved,11/28/2018,DD,N,DAILY MX
NM0028762,3,3600771189,3639473448,001,3600771189,Q,1,3662550665,,3676107681,3640927931,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",19,mg/L,09/30/2018,3,,,,10/11/2018,,,3601725081,,C3,K,"Non-receipt Violation, Non-Monthly Average",11/28/2018,9,RE - Manual by Back into Compliance/Administratively Resolved,11/28/2018,DD,N,DAILY MX
